File,N (Preferences),Start Date and Time,Execution Time (seconds)
1,2,2025-04-02 11:58:16,0.0004513263702392578
2,4,2025-04-02 11:58:16,0.0004916191101074219
3,6,2025-04-02 11:58:16,0.0005495548248291016
4,8,2025-04-02 11:58:16,0.0005571842193603516
5,10,2025-04-02 11:58:16,0.0006136894226074219
6,12,2025-04-02 11:58:16,0.0006537437438964844
7,14,2025-04-02 11:58:16,0.0007214546203613281
8,16,2025-04-02 11:58:16,0.0007162094116210938
10,20,2025-04-02 11:58:16,0.0012142658233642578
11,22,2025-04-02 11:58:16,0.0009882450103759766
12,24,2025-04-02 11:58:16,0.0005631446838378906
69,138,2025-04-02 11:58:16,0.007520437240600586
