Time:128Hz,Epoch,AF3,F7,F3,FC5,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,7186.6665039062,519.2307739258,4683.5898437500,8240.2568359375,5392.5639648438,7243.0771484375,6913.7177734375,5654.7436523438,,,
0.0078125000,0,991.5384521484,4442.6923828125,2865.6411132812,5295.2563476562,4812.0512695312,6374.1025390625,8156.2822265625,4224.7436523438,33552,0.0078125000,0.0000000000
0.0156250000,0,5765.0000000000,4516.1538085938,6750.7690429688,607.8204956055,1654.3590087891,5004.2309570312,5003.4614257812,810.7692260742,,,
0.0234375000,0,5202.8203125000,2709.1025390625,7805.5126953125,7731.9228515625,3707.4357910156,5851.6665039062,1954.4871826172,1561.6666259766,33552,0.0234375000,0.0000000000
0.0312500000,1,1846.2821044922,1463.8461914062,5767.8203125000,2117.0512695312,2680.7692871094,1433.3333740234,6579.4873046875,1504.6153564453,,,
0.0390625000,1,6777.4360351562,5213.0771484375,3746.4101562500,5875.6411132812,1188.9743652344,4344.8715820312,2355.3845214844,3820.7692871094,33552,0.0390625000,0.0000000000
0.0468750000,1,5933.4614257812,228.3333282471,711.4102783203,6374.6152343750,7926.5385742188,8373.3330078125,7944.6152343750,5201.9228515625,,,
0.0546875000,1,327.5640869141,1295.2563476562,7406.7949218750,322.9486999512,3142.8205566406,2803.4614257812,5735.8974609375,8164.4873046875,33552,0.0546875000,0.0000000000
0.0625000000,2,692.8204956055,7511.0258789062,3629.8718261719,4668.0771484375,926.1538696289,2322.1794433594,2098.3332519531,8287.8203125000,,,
0.0703125000,2,3332.1794433594,1442.9487304688,4467.9487304688,2084.8718261719,5111.1538085938,4968.3334960938,742.1795043945,8383.3330078125,33552,0.0703125000,0.0000000000
0.0781250000,2,5359.4873046875,1916.2821044922,3711.7949218750,6244.3588867188,3720.0000000000,3457.6923828125,2887.6923828125,5208.5898437500,,,
0.0859375000,2,3997.5642089844,2249.7436523438,6135.0000000000,995.2564086914,2451.6667480469,1493.3333740234,3698.5898437500,16.9230670929,33552,0.0859375000,0.0000000000
0.0937500000,3,3687.1794433594,132.6923065186,4025.5129394531,1416.9230957031,5309.8715820312,6973.3334960938,7631.7949218750,333.2051086426,,,
0.1015625000,3,1071.5384521484,8123.7177734375,4863.8461914062,2846.4101562500,2416.4101562500,5965.7690429688,750.0000000000,8084.3588867188,33552,0.1015625000,0.0000000000
0.1093750000,3,2922.5642089844,6723.2050781250,6210.7690429688,6316.9228515625,4789.4873046875,3177.6923828125,5967.4360351562,7429.2309570312,,,
0.1171875000,3,8328.7177734375,313.0769042969,5581.7949218750,2526.5385742188,7297.5639648438,6201.1538085938,6065.6411132812,3649.6154785156,33552,0.1171875000,0.0000000000
0.1250000000,4,7929.2309570312,2289.2307128906,6742.0512695312,5308.4614257812,2230.6411132812,1996.1538085938,2018.2050781250,2786.1538085938,,,
0.1328125000,4,6270.5126953125,6431.0258789062,5503.3334960938,1215.7691650391,5638.0771484375,4946.0258789062,6446.2822265625,7294.8715820312,33552,0.1328125000,0.0000000000
0.1406250000,4,1584.6153564453,4954.8715820312,6047.9487304688,7813.2050781250,987.9487304688,2163.5898437500,3133.2050781250,5291.6665039062,,,
0.1484375000,4,345.6410217285,5080.1284179688,2196.4101562500,283.5897216797,6526.1538085938,2554.8718261719,5814.1025390625,6880.5126953125,33552,0.1484375000,0.0000000000
0.1562500000,5,307.8204956055,4033.8461914062,2017.3077392578,2312.9487304688,6539.6152343750,6794.3588867188,6229.2309570312,880.5128173828,,,
0.1640625000,5,3965.5129394531,5197.5639648438,8332.8203125000,890.8973999023,6169.6152343750,546.7948608398,1243.5897216797,8040.2563476562,33552,0.1640625000,0.0000000000
0.1718750000,5,2608.8461914062,349.7435913086,2034.8718261719,3522.8205566406,5143.2050781250,7138.9741210938,3740.6411132812,6668.2050781250,,,
0.1796875000,5,4638.0771484375,7876.2822265625,942.6923217773,6068.4614257812,1355.8974609375,7592.3076171875,7113.7177734375,6595.5126953125,33552,0.1796875000,0.0000000000
0.1875000000,6,2268.2050781250,3753.3332519531,4876.7949218750,7167.8203125000,5534.1025390625,7541.5385742188,3857.6923828125,4805.1284179688,,,
0.1953125000,6,7352.3076171875,7044.6152343750,5919.8715820312,5.5128116608,697.4359130859,4511.6665039062,101.6666564941,1979.8718261719,33552,0.1953125000,0.0000000000
0.2031250000,6,2080.3845214844,7655.6411132812,7640.7690429688,2926.2819824219,2736.2819824219,2864.4870605469,5369.2309570312,5151.7949218750,,,
0.2109375000,6,1494.3590087891,5570.0000000000,1147.1794433594,1053.9743652344,2184.6154785156,5953.4614257812,1225.8974609375,1561.2821044922,33552,0.2109375000,0.0000000000
0.2187500000,7,2430.3845214844,3501.2819824219,1932.5640869141,2218.5898437500,2043.4615478516,232.1794738770,5104.7436523438,797.8204956055,,,
0.2265625000,7,8367.9482421875,7384.2309570312,1606.5384521484,1595.1281738281,6494.6152343750,4397.9487304688,3742.0512695312,3276.5385742188,33552,0.2265625000,0.0000000000
0.2343750000,7,3553.8461914062,5667.8203125000,4147.1796875000,2204.4870605469,7088.4614257812,7480.7690429688,3992.0512695312,7180.7690429688,,,
0.2421875000,7,6207.8203125000,4011.7949218750,7087.0512695312,7603.2050781250,4587.1796875000,7933.3334960938,6987.3076171875,3424.3588867188,33552,0.2421875000,0.0000000000
0.2500000000,8,7157.1796875000,6428.9741210938,4729.6152343750,7577.5639648438,1203.5897216797,7801.6665039062,8370.0000000000,3230.5129394531,,,
0.2578125000,8,7888.7177734375,7409.3588867188,554.3589477539,904.7435913086,820.2564086914,581.4102783203,1723.3333740234,193.7179412842,33552,0.2578125000,0.0000000000
0.2656250000,8,2469.1025390625,3422.5642089844,5638.8461914062,3379.1025390625,7383.9746093750,7054.8715820312,1646.4102783203,5306.1538085938,,,
0.2734375000,8,7943.0771484375,7224.8715820312,2861.1538085938,7705.8974609375,4372.9487304688,2202.6923828125,752.0512695312,5009.2309570312,33552,0.2734375000,0.0000000000
0.2812500000,9,2693.8461914062,7839.7436523438,5259.7436523438,3217.5642089844,7533.2050781250,3450.6411132812,6354.2309570312,8258.3330078125,,,
0.2890625000,9,7315.0000000000,2974.6154785156,8285.7695312500,7503.0771484375,565.7692260742,5889.4873046875,2525.6411132812,4562.9487304688,33552,0.2890625000,0.0000000000
0.2968750000,9,4783.7177734375,8181.6665039062,1873.9743652344,7925.7690429688,8029.8715820312,6254.3588867188,35.5128097534,298.4615173340,,,
0.3046875000,9,1273.8461914062,1391.6666259766,6165.7690429688,4660.6411132812,730.5128173828,7340.6411132812,8086.2822265625,1315.8974609375,33552,0.3046875000,0.0000000000
0.3125000000,10,5026.9228515625,5616.5385742188,69.7435836792,7635.3847656250,4245.6411132812,2095.0000000000,1863.2050781250,5009.8715820312,,,
0.3203125000,10,6332.9487304688,5124.4873046875,908.9743652344,662.9487304688,2129.1025390625,5080.1284179688,3075.7692871094,6961.7949218750,33552,0.3203125000,0.0000000000
0.3281250000,10,6499.6152343750,4665.6411132812,6687.5639648438,2059.1025390625,7263.5898437500,515.5128173828,7337.9487304688,2206.0256347656,,,
0.3359375000,10,1346.9230957031,2283.2050781250,4876.7949218750,7387.8203125000,7667.4360351562,4910.5126953125,776.2820434570,8277.0517578125,33552,0.3359375000,0.0000000000
0.3437500000,11,2732.3076171875,1854.4871826172,6863.4614257812,6376.0258789062,1908.4615478516,6052.0512695312,2736.1538085938,7482.4360351562,,,
0.3515625000,11,4300.6411132812,6337.0512695312,7857.8203125000,3755.0000000000,389.7435913086,4872.0512695312,6682.0512695312,6032.1796875000,33552,0.3515625000,0.0000000000
0.3593750000,11,1827.1794433594,3817.5642089844,7809.3588867188,6674.7436523438,2617.3076171875,1045.3846435547,1967.8205566406,4485.6411132812,,,
0.3671875000,11,3897.8205566406,7404.4873046875,1563.0769042969,8389.3593750000,7184.8715820312,1629.1025390625,7410.1284179688,811.5384521484,33552,0.3671875000,0.0000000000
0.3750000000,12,6844.7436523438,7268.7177734375,5838.5898437500,3871.0256347656,2025.5128173828,1978.3333740234,2273.2050781250,5379.7436523438,,,
0.3828125000,12,270.7692260742,2132.9487304688,3024.2307128906,2751.2819824219,5924.3588867188,136.2820434570,600.3845825195,4350.5126953125,33552,0.3828125000,0.0000000000
0.3906250000,12,7505.0000000000,3699.3588867188,5659.4873046875,1952.6922607422,5888.0771484375,1916.4102783203,554.1025390625,6612.0512695312,,,
0.3984375000,12,3490.5129394531,8045.8974609375,6853.5898437500,7809.3588867188,6804.6152343750,7002.3076171875,7026.2822265625,3654.6154785156,33552,0.3984375000,0.0000000000
0.4062500000,13,1594.6153564453,8207.8203125000,2158.8461914062,7042.1796875000,2607.9487304688,6657.0512695312,3376.6667480469,1860.1281738281,,,
0.4140625000,13,5415.8974609375,7707.0512695312,8157.0512695312,2351.6667480469,1688.8461914062,1132.5640869141,8075.2563476562,6357.4360351562,33552,0.4140625000,0.0000000000
0.4218750000,13,3005.8974609375,2460.5126953125,6728.2050781250,293.4615173340,4319.6152343750,5805.2563476562,2535.1281738281,833.8461303711,,,
0.4296875000,13,4528.4614257812,4396.0258789062,1675.8974609375,2130.1281738281,8185.8974609375,146.9230651855,4935.6411132812,7154.3588867188,33552,0.4296875000,0.0000000000
0.4375000000,14,219.7435760498,8203.4619140625,2841.9230957031,6806.4101562500,8337.0517578125,7540.7690429688,2517.1794433594,5557.3076171875,,,
0.4453125000,14,3057.3076171875,2276.7949218750,3823.8461914062,920.0000000000,638.5897216797,2433.7180175781,3066.5385742188,7093.7177734375,33552,0.4453125000,0.0000000000
0.4531250000,14,6513.4614257812,2921.4101562500,7543.3334960938,2977.1794433594,6376.2822265625,6292.5639648438,60.2564010620,404.6153869629,,,
0.4609375000,14,7917.1796875000,2231.4101562500,963.4615478516,1475.5128173828,361.2820434570,3615.0000000000,207.5640869141,6978.3334960938,33552,0.4609375000,0.0000000000
0.4687500000,15,6313.3334960938,4525.0000000000,4688.0771484375,8290.8974609375,6782.5639648438,1148.2050781250,1212.5640869141,2134.2307128906,,,
0.4765625000,15,7045.8974609375,8123.3334960938,5704.6152343750,2492.8205566406,1760.6409912109,8041.1538085938,3085.1281738281,2360.6411132812,33552,0.4765625000,0.0000000000
0.4843750000,15,5502.6923828125,833.7179565430,1481.1538085938,5329.2309570312,6875.8974609375,7026.1538085938,6636.5385742188,5419.7436523438,,,
0.4921875000,15,2775.2563476562,3706.6667480469,1414.8718261719,1016.0256347656,1584.7435302734,634.2307739258,4705.3847656250,5467.3076171875,33552,0.4921875000,0.0000000000
0.5000000000,16,4560.1284179688,7575.7690429688,2538.7180175781,2216.5385742188,8243.7177734375,6296.9228515625,2934.8718261719,2091.5385742188,,,
0.5078125000,16,6260.0000000000,7437.0512695312,1520.6409912109,6096.4101562500,3846.0256347656,2886.5385742188,541.9230957031,3477.4357910156,33552,0.5078125000,0.0000000000
0.5156250000,16,2242.8205566406,3242.5642089844,641.4102783203,3147.3076171875,740.6409912109,5091.0258789062,3696.6667480469,510.5128173828,,,
0.5234375000,16,7282.9487304688,2555.1281738281,6972.9487304688,786.0256347656,5468.3334960938,4291.4101562500,1681.6666259766,651.5384521484,33552,0.5234375000,0.0000000000
0.5312500000,17,203.5897369385,3437.9487304688,1536.4102783203,8054.6152343750,5751.4101562500,5836.2822265625,5139.2309570312,790.2564086914,,,
0.5390625000,17,3631.5385742188,4591.6665039062,6709.1025390625,6946.7949218750,8186.2822265625,3478.5898437500,4688.0771484375,7237.5639648438,33552,0.5390625000,0.0000000000
0.5468750000,17,7450.8974609375,464.4871826172,4946.5385742188,8023.5898437500,2990.8974609375,7936.4101562500,2394.3588867188,2753.0769042969,,,
0.5546875000,17,6090.2563476562,2398.4614257812,8130.8974609375,2733.4614257812,3687.1794433594,1232.0512695312,4127.3076171875,1736.6666259766,33552,0.5546875000,0.0000000000
0.5625000000,18,4434.3588867188,4339.6152343750,5147.6923828125,305.8974304199,2938.2050781250,5604.8715820312,6644.8715820312,8118.7177734375,,,
0.5703125000,18,7352.0512695312,2257.3076171875,2318.8461914062,1568.3333740234,5067.3076171875,642.1795043945,5648.4614257812,1123.0769042969,33552,0.5703125000,0.0000000000
0.5781250000,18,5354.8715820312,7667.3076171875,1364.7435302734,2965.3845214844,2333.2050781250,1360.2563476562,2392.9487304688,7338.4614257812,,,
0.5859375000,18,3178.5898437500,1607.4359130859,6580.3847656250,3644.3588867188,2075.2563476562,4080.1281738281,4851.1538085938,134.3589630127,33552,0.5859375000,0.0000000000
0.5937500000,19,537.4359130859,559.3589477539,1083.4615478516,4709.1025390625,2778.7180175781,4731.9228515625,4406.6665039062,286.0256347656,,,
0.6015625000,19,6342.6923828125,7788.0771484375,6757.5639648438,7733.5898437500,1149.6153564453,1305.2563476562,7510.7690429688,396.9230651855,33552,0.6015625000,0.0000000000
0.6093750000,19,5029.3588867188,3224.6154785156,1066.7949218750,2882.6923828125,5114.3588867188,7731.5385742188,1541.7949218750,4586.5385742188,,,
0.6171875000,19,7405.5126953125,4360.8974609375,825.3845825195,5177.6923828125,5623.2050781250,7521.7949218750,6445.5126953125,4732.1796875000,33552,0.6171875000,0.0000000000
0.6250000000,20,148.8461456299,5582.8203125000,3617.3076171875,6343.8461914062,4678.7177734375,5454.4873046875,4850.1284179688,3763.2050781250,,,
0.6328125000,20,4779.8715820312,2565.1281738281,3111.1538085938,5185.0000000000,6234.2309570312,4071.0256347656,4180.1284179688,5389.7436523438,33552,0.6328125000,0.0000000000
0.6406250000,20,2189.3588867188,4060.3845214844,1460.5128173828,2962.5642089844,6333.0771484375,3446.0256347656,1469.7435302734,4086.5385742188,,,
0.6484375000,20,3782.0512695312,6072.5639648438,2382.1794433594,3505.0000000000,2778.7180175781,75.7692184448,7176.9228515625,5156.6665039062,33552,0.6484375000,0.0000000000
0.6562500000,21,1056.1538085938,4230.8974609375,118.5897369385,1232.5640869141,1256.7949218750,7358.3334960938,7434.3588867188,2596.4101562500,,,
0.6640625000,21,7567.6923828125,4360.8974609375,1740.8974609375,6835.3847656250,7161.0258789062,1514.6153564453,3736.0256347656,2498.7180175781,33552,0.6640625000,0.0000000000
0.6718750000,21,7770.3847656250,7825.3847656250,3914.6154785156,4632.1796875000,7428.7177734375,421.7948608398,137.9487152100,5270.2563476562,,,
0.6796875000,21,1165.0000000000,4845.3847656250,4730.7690429688,4247.0512695312,6862.3076171875,337.6922912598,4695.6411132812,3789.7436523438,33552,0.6796875000,0.0000000000
0.6875000000,22,7023.2050781250,6072.5639648438,2383.5898437500,6511.5385742188,2154.8718261719,187.9487152100,1078.2050781250,5223.3334960938,,,
0.6953125000,22,7152.1796875000,1105.3846435547,8317.4355468750,620.5128173828,8032.0512695312,4570.1284179688,1819.1025390625,5851.6665039062,33552,0.6953125000,0.0000000000
0.7031250000,22,1101.7949218750,3011.0256347656,1085.8974609375,6651.2822265625,4104.4873046875,7939.1025390625,8211.9228515625,14.3589658737,,,
0.7109375000,22,6598.8461914062,709.4871826172,8311.9228515625,2497.9487304688,4069.8718261719,859.7435913086,2724.7436523438,982.8204956055,33552,0.7109375000,0.0000000000
0.7187500000,23,1806.5384521484,3609.6154785156,5575.2563476562,6471.9228515625,2452.0512695312,7214.1025390625,2830.8974609375,1751.6666259766,,,
0.7265625000,23,682.5640869141,1747.8205566406,797.4359130859,128.5897369385,7691.4101562500,3087.9487304688,3508.8461914062,2550.5126953125,33552,0.7265625000,0.0000000000
0.7343750000,23,5354.6152343750,4490.3847656250,503.2051086426,131.9230651855,7402.8203125000,545.5128173828,7392.9487304688,3506.1538085938,,,
0.7421875000,23,2758.5898437500,1835.2563476562,7480.8974609375,4115.8974609375,652.8204956055,3858.9743652344,1657.9487304688,490.1282043457,33552,0.7421875000,0.0000000000
0.7500000000,24,472.8204956055,4305.3847656250,3704.1025390625,2803.8461914062,7184.4873046875,7235.5126953125,2545.5126953125,884.3589477539,,,
0.7578125000,24,1774.2307128906,5544.3588867188,5365.3847656250,969.3589477539,465.1282043457,3753.3332519531,1086.1538085938,448.8461608887,33552,0.7578125000,0.0000000000
0.7656250000,24,2369.6154785156,1868.7178955078,3354.3588867188,1082.0512695312,5592.9487304688,7848.3334960938,4144.3588867188,762.4359130859,,,
0.7734375000,24,8247.0517578125,8263.9746093750,6846.1538085938,5137.4360351562,7623.3334960938,2333.8461914062,5116.4101562500,4907.5639648438,33552,0.7734375000,0.0000000000
0.7812500000,25,3511.2819824219,4954.1025390625,5187.0512695312,2813.5898437500,6848.2050781250,6806.7949218750,2712.9487304688,3281.9230957031,,,
0.7890625000,25,537.9487304688,6808.5898437500,3177.4357910156,7925.1284179688,7041.1538085938,5129.3588867188,4896.7949218750,1060.6409912109,33552,0.7890625000,0.0000000000
0.7968750000,25,992.0512695312,6208.2050781250,5506.0258789062,5618.0771484375,6669.8715820312,5595.2563476562,5018.3334960938,1548.3333740234,,,
0.8046875000,25,8173.9746093750,6061.2822265625,7482.4360351562,3730.7692871094,2132.5642089844,7480.7690429688,322.5640869141,2005.8974609375,33552,0.8046875000,0.0000000000
0.8125000000,26,3268.0769042969,2406.1538085938,4181.9228515625,3230.7692871094,2491.7949218750,1726.5384521484,392.4358825684,4712.3076171875,,,
0.8203125000,26,6936.1538085938,7715.5126953125,5088.4614257812,2373.9743652344,2597.0512695312,502.1794738770,4425.0000000000,4777.3076171875,,,
0.8281250000,26,297.5640869141,2215.6411132812,2683.4614257812,3202.9487304688,5740.2563476562,1593.4615478516,5861.9228515625,103.3333282471,33552,0.8281250000,0.0000000000
0.8359375000,26,7697.6923828125,1384.2307128906,2151.9230957031,5320.5126953125,1966.7949218750,683.9743652344,6469.8715820312,3427.3076171875,,,
0.8437500000,27,8009.3588867188,5665.1284179688,1347.9487304688,112.0512695312,6436.4101562500,2901.6667480469,2596.9230957031,4586.4101562500,33552,0.8437500000,0.0000000000
0.8515625000,27,862.8204956055,7282.1796875000,2852.6923828125,169.3589630127,3011.4101562500,797.4359130859,2287.8205566406,7253.7177734375,33552,0.8437500000,0.0000000000
0.8593750000,27,3318.8461914062,7986.9228515625,2044.4871826172,740.1281738281,5269.2309570312,1021.0256347656,3426.5385742188,1399.7435302734,33552,0.8593750000,0.0000000000
0.8671875000,27,323.3333129883,3470.2563476562,3338.0769042969,7341.5385742188,5968.7177734375,664.4871826172,1397.9487304688,7839.1025390625,,,
0.8750000000,28,2902.3076171875,7435.8974609375,996.1538696289,3192.1794433594,5440.7690429688,1504.3590087891,4683.5898437500,668.8461303711,33552,0.8750000000,0.0000000000
0.8828125000,28,2740.0000000000,4882.8203125000,219.9999847412,5871.5385742188,5192.6923828125,7889.1025390625,3777.8205566406,1800.0000000000,33552,0.8750000000,0.0000000000
0.8906250000,28,5678.5898437500,6313.8461914062,3612.3076171875,7193.5898437500,322.0512695312,1020.5128173828,3453.9743652344,4829.1025390625,33552,0.8906250000,0.0000000000
